编号,出题人,知识领域,问题,答案,难度,来源文件,答案出处（如有，贴截图）,测试人员,测试结果（通过/不通过）,AI知识回答原文,备注,Result,结果
3.0,江昊,给排水,敞口水箱的满水试验和密闭水箱(罐)的水压试验怎么做,满水试验静置24h观察不渗不漏;水压试验在试验压力下10min压力不降，不渗不漏,低,GB50242-2002,,向巍,通过,"敞口水箱的满水试验和密闭水箱(罐)的水压试验的方法如下：
1.敞口水箱的满水试验：
-封堵水箱最低处的排水口，向水箱内注水至满水。
-静置24小时，观察水箱和接口是否有渗漏，如果没有渗漏则合格。

2.密闭水箱(罐)的水压试验：
-密闭水箱需要与系统连在一起，水压试验应与系统的工作压力相一致，通常是其工作压力的1.5倍。
-在试验压力下进行10分钟的水压试验，检查压力是否下降，以及是否有渗漏现象，如果压力不降且没有渗漏则合格。

根据规范要求，敞口水箱的满水试验主要是检验是否渗漏，而密闭水箱的水压试验需要按照工作压力的1.5倍进行压力测试。",,未通过,
4.0,江昊,给排水,上人屋面通气管高度如何设置,在经常有人停留的平屋顶上通气管应高出2m，并应根据防雷要求设置防雷装置,中,GB50242-2002,,向巍,通过,"根据提供的资料，上人屋面通气管的高度设置应符合以下规定：
1.通气管高出屋面不得小于0.3m，且应大于最大积雪厚度，顶端应装设风帽或网罩；
2.在通气管口周围4m以内有门窗时，通气管口应高出窗顶0.6m或引向无门窗一侧；
3.在经常有人停留的平屋面上，通气管口应高出屋面2m，当通气管有碍于人们活动时，可按规定执行；
4.通气管口不宜设在建筑物挑出部分的下面；
5.当在全年不结冻的地区时，可以在室外设置吸气阀替代伸顶通气管；
6.当伸顶通气管为金属管材时，应根据防雷要求设置防雷装置。

根据规定，通气管口应高出地面至少4m，沿建筑物墙(柱)向上敷设的通气管管口，应高出建筑物的顶面至少2m。另外，通气管口应安装阻火器，以防外部的火源通过通气管引入罐内，引发爆炸着火事故。

因此，上人屋面通气管高度应高出屋面至少0.3m，并应根据规定确保安全距离，同时注意在不同地区可能有不同的规定，需符合当地相关标准和规定。",,未通过,
5.0,江昊,给排水,污水盆排水管管径应该是多大,50mm,高,GB50242-2002,,向巍,不通过,根据提供的基础资料，污物洗涤池和污水盆的排水管管径不得小于75mm。因此，连接卫生器具的污水盆排水管的管径应该是不小于75mm。感谢您的提问！如有其他问题，请随时向我咨询。,一个规范似乎有矛盾,未通过,
6.0,江昊,暖通,散热器支管坡度如何设置,散热器支管的坡度应为1%，坡向应利于排气和泄水,低,GB50242-2002,,向巍,通过,"根据提供的基础资料，散热器支管的坡度设置应为1%，坡向应有利于排气和泄水。对于热水管、汽水同向流动的蒸汽管和凝结水管，坡度宜采用0.003，不得小于0.002；立管与散热器连接的支管，坡度不得小于0.01。如果条件限制，热水管道可以无坡度敷设，但管中的水流速度不应小于0.25m/s。对于汽水逆向流动的蒸汽管，坡度不得小于0.005。

因此，散热器支管的坡度应根据流体流动方向和管道类型进行设置，确保坡度足够有利于排气和泄水。",,未通过,
7.0,江昊,暖通,采暖系统水压试验压力一般为多少,采暖系统安装完毕，管道保温之前应进行水压试验。试验压力应符合设计要求。当设计未注明时，应符合下列规定:蒸汽、热水采暖系统，应以系统顶点工作压力加0.1MPa作水压试验，同时在系统顶点的试验压力不小于0.3MPa.高温热水采暖系统，试验压力应为系统顶点工作压力加0.4MPa.使用塑料管及复合管的热水采暖系统，应以系统顶点工作压力加0.2MPa作水压试验，同时在系统顶点的试验压力不小于0.4MPa。,中,GB50242-2002,,向巍,不通过,根据提供的基础资料，采暖系统水压试验压力一般应为工作压力的1.5倍，但不得小于0.6MPa。在试验压力下10min内压力降不大于0.05MPa，然后降至工作压力下检查，不渗不漏。因此，采暖系统水压试验压力一般为工作压力的1.5倍，但不小于0.6MPa。,,未通过,
8.0,江昊,暖通,供热管网应该选什么材质的管道？,"供热管网的管材应按设计要求，当设计未注明时，应符
合下列规定:
1管径小于或等于40mrn时，应使用焊接钢管
2管径为50200mrn时，应使用焊接钢管或无缝钢管
3管径大于200mrn时，应使用螺旋焊接钢管",高,GB50242-2002,,向巍,不通过,供热管网应该选用塑料管、复合管、镀锌钢管和铜管作为管道材质。对于热水供应系统，可以选择塑料管、复合管、镀锌钢管和铜管。需要注意的是，塑料热水管在设备机房内不应使用。在选择管道材质时，应考虑工作压力、工作温度、使用寿命等因素，综合考虑后确定最适合的管道材质。在辐射供暖系统中，应选择适合的塑料管道或铜管作为供暖管道材质，以确保系统的正常运行和热量传递效果。另外，各种管道的质量应符合国家标准的规定。对于供暖管道，可以选择焊接钢管、镀锌钢管、热镀锌钢管、塑料管、有色金属管等作为材质，根据具体情况选择合适的管道材质来保障供热系统的运行安全和稳定性。,,未通过,
9.0,江昊,给排水,什么是卡套式连接,卡套式连接是由带锁紧螺帽和丝扣管件组成的专用接头而进行管道连接的一种连接形式,低,GB50242-2002,,向巍,通过,卡套式连接是一种管道连接形式，使用带锁紧螺帽和丝扣管件组成的专用接头进行连接。这种连接方式的优点包括连接牢固、耐压能力高、耐温性好、密封性和反复性良好、安装维修方便、工作安全可靠等特点。一般适用于2632以下规格的自来水和燃气系统。通过将螺纹卡套压接或其他方式进行连接，实现管道的顺畅运输和有效使用。,,未通过,
10.0,江昊,给排水,DN100的保温焊接钢管管道支架最大间距是多少,4.5m,高,GB50242-2002,,向巍,不通过,根据提供的资料，钢管水平安装时，支、吊架的最大间距应根据表7.3.4-3规定。具体来说，公称直径为DN100的钢管支架的最大间距为5.0m。因此，DN100的保温焊接钢管管道支架最大间距为5.0m。希望能够帮助到您。如果有其他问题，请继续提问。,,未通过,
11.0,江昊,给排水,DN50的给水镀锌钢管要用什么连接方式,管径小于或等于100mm的镀辞钢管应采用螺纹连接,高,GB50242-2002,,向巍,通过,根据提供的基础资料，DN50的给水镀锌钢管应该采用螺纹连接方式。具体来说，管径小于或等于100mm的镀锌钢管宜采用螺纹连接，套丝时破坏的镀锌层表面及外露螺纹部分应进行防腐处理。另外，管径大于100mm的镀锌钢管应采用法兰或卡套式专用管件连接，焊接处应二次镀锌，以确保工程质量。,,未通过,
12.0,江昊,给排水,给水管水压试验是多少,室内给水管道的水压试验必须符合设计要求，当设计未注明，各种材质的给水管道系统试验压力均为工作压力的1.5倍，但不得小于0.6MPa,中,GB50242-2002,,向巍,通过,给水管水压试验的要求是根据设计文件来确定的。一般情况下，给水管道系统的试验压力应为工作压力的1.5倍，但不得小于0.6MPa。具体检验方法包括：金属及复合管给水管道系统在试验压力下观测10分钟，压力降不得超过0.02MPa，然后将压力降至工作压力进行检查，应确保不渗漏；塑料管给水系统则需要在试验压力下稳定压力1小时，压力降不得超过0.05MPa，之后在1.15倍工作压力状态下稳压2小时，压力降不得超过0.03MPa，同时检查各连接处不得渗漏。如果设计文件中没有具体要求，则需按照相关标准规定执行。,,未通过,
13.0,江昊,施工,防火涂料如何分类？,防火涂料根据涂层厚度和耐火极限可分为厚型、薄型和超薄型三类。厚型为非膨胀型，厚度为7~45mm。薄型和超薄型为膨胀型，厚度为3~7mm,中,非库内规范,,向巍,不通过,"根据提供的资料，无机防火涂层可分为以下四种分类：
1.涂层完好，无受潮、霉变、开裂、空鼓和起翘等现象；
2.涂层基本完好，无受潮和霉变等现象，但局部存在开裂、空鼓或起翘等现象；
3.涂层存在局部受潮或脱落现象；
4.涂层大面积受潮或经历水的冲淋。

此外，建筑内部装修工程的防火施工与验收，根据装修材料种类可划分为纺织织物子分部装修工程、木质材料子分部装修工程、高分子合成材料子分部装修工程、复合材料子分部装修工程及其他材料子分部装修工程。

检验钢结构防火涂料时，涂料的品种和技术性能应符合设计要求，并须通过法定的检测机构检测，检测结果应符合国家标准规定。

最后，膨胀型(超薄型、薄涂型)防火涂料和厚涂型防火涂料的涂层厚度和隔热性能应符合国家标准的要求，其中厚涂型防火涂料在涂装时具体要求涂层厚度不低于设计要求的85%。",,未通过,
14.0,江昊,施工,安全生产教育培训的对象包括哪些人员？,企业各管理层的负责人、管理人员、特殊工种以及新上岗、待岗复工、转岗、换岗的作业人员。,中,非库内规范,,向巍,通过,"安全生产教育培训的对象包括但不限于以下人员：
1.进入新岗位或者新施工现场前的作业人员，需要接受安全生产教育培训，确保合格上岗。
2.施工单位的全员，需要接受全员安全生产教育培训，确保全员合格上岗。
3.被派遣劳动者，需要接受岗位安全操作规程和安全操作技能的教育和培训。
4.全体施工人员，需要接受消防安全教育与培训，提高消防安全意识和扑灭初起火灾、自我防护能力。

教育培训方式可以采取多种形式，如安全形势报告会、事故案例分析会、安全法制教育、安全技术交流等。同时，新职工安全培训后需要在经验丰富的工人师傅带领下实习至少2个月，方可独立上岗。",,未通过,
15.0,江昊,施工,安全生产费用应包括哪些内容？,安全技术措施、安全教育培训、劳动保护、应急准备等，以及必要的安全评价、监测、检测、论证所需用。,中,非库内规范,,向巍,通过,"安全生产费用应包括以下内容：
1.完善、改造和维护安全防护设施设备支出，包括施工现场临时用电系统、洞口或临边防护、高处作业或交叉作业防护、临时安全防护、支护及防治边坡滑坡、工程有害气体监测和通风、保障安全的机械设备、防火、防爆、防触电、防尘、防毒、防雷、防台风、防地质灾害等设施设备支出。
2.应急救援技术装备、设施配置及维护保养支出，包括事故逃生和紧急避难设施设备的配置和应急救援队伍建设、应急预案制修订与应急演练支出。
3.开展施工现场重大危险源检测、评估、监控支出，安全风险分级管控和事故隐患排查整改支出，工程项目安全生产信息化建设、运维和网络安全支出。
4.安全生产检查、评估评价、咨询和标准化建设支出。
5.配备和更新现场作业人员安全防护用品支出。
6.安全生产宣传、教育、培训和从业人员发现并报告事故隐患的奖励支出。
7.安全生产适用的新技术、新标准、新工艺、新装备的推广应用支出。
8.安全设施及特种设备检测检验、检定校准支出。
9.安全生产责任保险支出。
10.与安全生产直接相关的其他支出。

以上是安全生产费用的一般内容，涵盖了施工单位在完善和改进安全生产条件方面需要列支的费用项目。希望能够帮助您了解安全生产费用的范围和内容。如果您有任何其他问题，欢迎继续咨询。",,未通过,
16.0,江昊,施工,模板及其支撑拆除的顺序原则是什么？,后支先拆、先支后拆。,中,非库内规范,,向巍,不通过,"根据提供的基础资料，模板及其支撑拆除的顺序原则包括：

1.拆除模板时，不应对楼层形成冲击荷载，应分散堆放并及时清运。
2.拆除模板的措施需要经技术主管部门或责任人批准，并遵守相关规范和标准。
3.当混凝土未达到规定强度或已达到设计强度时，需经计算确认强度能够承受荷载后才可拆除模板。
4.拆模顺序和方法应按照模板的设计规定进行，如无规定则可先拆支撑后拆模板，并应从上而下进行拆除。
5.在拆除互相搭连支撑时，应补设临时支撑，逐块拆卸，不得成片擬落或拉倒。
6.拆模遇中途停歇时，应进行临时支撑牢固或相互连接稳固，一次性拆除活动部件。
7.已拆除模板的结构应在混凝土强度达到设计强度值后才能承受全部设计荷载，如强度不足应加设临时支撑。

总的原则是确保拆除模板时安全可靠，遵循规范标准，经过审批确认后进行拆除操作。",,未通过,
17.0,江昊,施工,施工检测试验计划的编制要求？,施工检测试验计划应在工程施工前由施工项目技术负责人组织有关人员编制，并应报送监理单位进行审查和监督实施。,中,非库内规范,,向巍,不通过,"施工检测试验计划的编制要求包括以下内容：
1.需编制相应的技术方案并经过审查批准。
2.专项施工方案的编制需要依据相关法律法规及规范文件，包括工程概况、编制依据、施工计划、施工工艺技术、施工安全保证措施、施工管理及作业人员配备和分工、验收要求、应急处置措施、计算书及相关图纸等内容。
3.机电安装工程中涉及超过一定规模的危险性较大的分部分项工程需要特别注意，如起重吊装工程、起重机械安装和拆卸工程、钢结构安装工程、大型结构整体顶升等。
4.对模板工程、爬升式模板工程、工具式模板工程及高大模板支架工程的施工方案，需要按有关规定进行技术论证。
5.对基坑内作业人员上下专用梯道的设置也有具体的规定，包括设置数量、扶手栏杆、宽度要求等。

以上是施工检测试验计划的编制要求，根据提供的资料内容进行总结。希望能帮到你。",,未通过,
18.0,江昊,施工,施工BIM应用包括哪些内容？,工程项目深化设计、施工实施、竣工验收等的施工全过程。,中,非库内规范,,向巍,不通过,施工BIM应用包括管线综合协调、竣工图制作、设备性能核对、机房设备位置布置、竖向管井管线布置、施工模拟等过程。同时，在机电工程中，BIM技术可应用于建筑工厂化管理系统、装配式机房施工技术、预制组合管道施工技术、单系统预制技术等方面，实现工程的标准化设计、工厂化生产、装配式施工，提高效率和质量。,,未通过,
19.0,江昊,施工,对建筑质量试验报告有争议时，如何处理？,当建设单位、监理单位对施工企业试验室出具的试验报告有争议时，应委托被争议各方认可的、具备相应资质的检测机构重新检测。,中,非库内规范,,向巍,通过,当建筑质量试验报告有争议时，首先应该委托第三方检测机构进行现场实体检验或抽样试验，确保报告的准确性和可靠性。如果参加验收各方对工程质量验收意见不一致，应由当地建设行政主管部门或工程质量监督检验机构进行协调处理。同时，根据《建设工程质量管理条例》，设计单位有义务参与建设工程质量事故分析，并提出相应的技术处理方案，以解决因设计造成的质量事故。综合考虑合同能源管理的要求，有争议的项目可以通过合同约定的节能指标和服务、投融资和技术保障等方式进行检测和处理，确保合同的执行和质量问题的解决。,,未通过,
20.0,江昊,施工,工程资料归档年限为多久,当无规定时，工程资料归档保存期限不宜少于5年；,中,非库内规范,,向巍,不通过,根据提供的基础资料，工程资料归档年限是3年，从工程项目终止施工安全监督后开始计算。在3年内，监督机构应整理工程项目的施工安全监督资料，包括监督文书、抽查记录、项目安全生产标准化自评材料等，形成工程项目的施工安全监督档案。,,未通过,
21.0,江昊,施工,地基与基础工程包括哪些子分部工程？,主要包括：地基、基础、基坑支护、地下水控制、土方、边坡、地下防水等子分部工程。,中,非库内规范,,徐世强,,"根据提供的资料，在地基与基础工程中，包括建筑装饰装修工程的地面工程子分部工程。这些子分部工程包括地面整体面层、地面板块面层、地面木、竹面层等，其中地面面层包括基层和面层。基层包括基土、灰土垫层、砂蛰层、碎石垫层等；面层包括水泥混凝土面层、水磨石面层、硬化耐磨面层等。地基与基础工程涵盖了各种地面工程，从基础到面层的各个环节都在其中。希望能帮到您！如果有其他问题，请继续提问。

共4条引用
1、246GB50209-2010[A100]建筑地面工程施工质量验收规范_规范-->3基本规定-->3.0.1建筑地面工程子分部工程、分项工程的划分应按表3.0.1的规定执行。
2、285GB50300-2013[A000]建筑工程施工质量验收统一标准_规范-->附录B建筑工程的分部工程、分项工程划分1.csv
3、246GB50209-2010[A100]建筑地面工程施工质量验收规范_规范-->3基本规定-->3.0.1建筑地面工程子分部工程、分项工程的划分应按表3.0.1的规定执行。1.csv
4、284GB50299T-2018[A000]地下铁道工程施工质量验收标准_规范-->11高架结构-->11.1一般规定-->11.1.6高架结构的分部及子分部工程、分项工程、检验批划分应符合表11.1.6的规定。1.csv
",,未通过,
22.0,江昊,施工,地基与基础工程验收程序是什么？,按施工企业自评、设计认可、监理核定、业主验收、政府监督的程序进行。,中,非库内规范,,徐世强,不通过,"地基与基础工程验收程序是指根据设计文件和相关标准，对地基承载力、基础施工要求等进行检查确认工程质量是否符合要求的活动。验收过程包括检验地基承载力是否符合设计要求，以现场试验和现场测量的方式进行，同时检查基础施工前各专业预留管线、设备基础及预埋件是否按照图纸要求进行预留。在施工单位自行检查合格的基础上，通过书面形式确认工程质量达到合格标准，即可进行验收。地基工程的验收还需考虑地基承载力、变形指标、原材料验收等内容，检验方法可选择多种方式，但需结合各方法的适用性和局限性进行综合评价，以确保地基处理的效果评价准确。

共4条引用
1、240GB50202-2018[A000]建筑地基基础工程施工质量验收标准_规范-->2术语-->2.0.1检验inspection
2、78a防疫应急医院工程建造标准_专业文件-->15竣工验收与交付-->15.4分部分项工程验收-->15.4.1地基与基础验收应符合下列规定_
3、240GB50202-2018[A000]建筑地基基础工程施工质量验收标准_规范-->2术语-->2.0.2验收acceptance
4、240GB50202-2018[A000]建筑地基基础工程施工质量验收标准的条文解释_条文说明-->4地基工程-->4.1一般规定-->4.1.7本条强调了地基处理工程的验收检验方法的确定，必须通过对岩土工程勘察报告、地基基础设计及地基加固设计资料的分析，了解施工工艺和施工中出现的异常情况等后确定。
",,未通过,
23.0,江昊,施工,门窗子分部工程有关安全和功能检测项目的有哪些？,建筑外窗的气密性能、水密性能和抗风压性能。,中,非库内规范,,徐世强,,"根据提供的基础资料，门窗子分部工程的安全和功能检测项目包括以下内容：
1.建筑外窗的气密性能、水密性能和抗风压性能；
2.饰面板后置埋件的现场拉拔力；
3.外墙饰面砖样板及工程的饰面砖粘结强度；
4.幕墙工程中的硅酮结构胶的相容性和剥离粘结性、幕墙后置埋件和槽式预埋件的现场拉拔力、幕墙的气密性、水密性、耐风压性能及层间变形性能。

这些检测项目将有助于确保门窗子分部工程的安全性和功能性符合规定要求，同时也有助于提高施工质量和工程验收标准的合格性。

共4条引用
1、247GB50210-2018[A000]建筑装饰装修工程质量验收标准_规范-->6门窗工程-->6.1一般规定-->6.1.5各分项工程的检验批应按下列规定划分_
2、247GB50210-2018[A000]建筑装饰装修工程质量验收标准_规范-->15分部工程质量验收-->15.0.6子分部工程的质量验收应按现行国家标准《建筑工程施工质量验收统一标准》GB50300的格式记录。子分部工程中各分项工程的质量均应验收合格，并应符合下列规定_
3、247GB50210-2018[A000]建筑装饰装修工程质量验收标准_规范-->14细部工程-->14.1一般规定-->14.1.1本章适用于固定橱柜制作与安装、窗帘盒和窗台板制作与安装、门窗套制作与安装、护栏和扶手制作与安装、花饰制作与安装等分项工程的质量验收。
4、314GB50382-2016[A010]城市轨道交通通信工程质量验收规范_规范-->3基本规定-->3.1一般规定-->3.1.2城市轨道交通通信工程施工质量验收应符合下列规定_
",,未通过,
24.0,江昊,施工,什么是高处作业？,高处作业是指凡在坠落高度基准面2m以上（含2m），有可能坠落的高处进行的作业。,中,非库内规范,,徐世强,不通过,"高处作业是指在建筑物或其他工程结构中，需要在较高位置进行作业的工作方式。根据现行行业标准《建筑施工高处作业安全技术规范》JGJ80的相关规定，高处作业应符合一系列安全要求和控制措施。例如，对于吊篮施工作业需要设置垂直生命线，安全绳应符合规定的材料规格，生命线必须可靠固定在结构上，并且不得有松散、打结、磨损等现象。在装饰装修阶段的高处作业中，需要编制专项施工方案并通过审查，以确保作业人员的安全。此外，室外作业时需要设置安全带系挂点，或利用屋面结构拉设垂直安全绳等措施来保证高处作业的安全性。总体来说，高处作业需要严格遵守相关规范和措施，确保作业人员的安全。

共4条引用
1、248GB50212-2014[A010]建筑防腐蚀工程施工规范_规范-->13安全技术-->13.0.9高处作业应符合现行行业标准《建筑施工高处作业安全
2、47a建筑施工高处作业安全带系挂点图集_专业文件-->主体施工阶段-->3.1高处作业吊篮施工作业垂直生命线
3、WM_2024年一建法规-电子版教材_专业文件-->第6章建设工程安全生产法律制度-->6.4施工现场安全防护制度-->6.4.1编制和实施安全技术措施、专项施工方案-->3.危大工程专项施工方案的编制及审查
4、47a建筑施工高处作业安全带系挂点图集_专业文件-->主体施工阶段-->3.5室外作业安全带系挂点
",,未通过,
25.0,江昊,施工,什么情况下应制定高处作业安全技术措施？,建筑施工中凡涉及临边与洞口作业、攀登与悬空作业、操作平台、交叉作业及安全防护网搭设的，应在施工组织设计或施工方案中制定高处作业安全技术措施。,中,非库内规范,,徐世强,不通过,"在进行高处作业时，应该制定高处作业安全技术措施。根据《建筑施工高处作业安全技术规范》JGJ80和《高处作业分级》GB/T3608规定，高处作业防护措施设计应符合相关标准，包括设置防护栏杆、安全带等措施以确保作业人员安全。此外，根据《危险性较大的分部分项工程安全管理规定》，危大工程及超过一定规模的工程需编制专项施工方案并经过审查合格后才能进行施工。专项施工方案应有针对性、具体可行，并经相关专业人员审核签字确认，确保施工安全。高压设备带电期间也应划定危险区，并设置安全线和警示标志，进入该区域的人员应穿绝缘鞋、戴绝缘手套。这些措施的目的是为了保障高处作业过程中作业人员的安全。

共4条引用
1、248GB50212-2014[A010]建筑防腐蚀工程施工规范_规范-->13安全技术-->13.0.9高处作业应符合现行行业标准《建筑施工高处作业安全
2、411GB51368T-2019[A000]建筑光伏系统应用技术标准_规范-->11劳动安全与职业卫生-->11.3劳动安全与职业卫生措施-->11.3.3施工高空作业防护措施设计，应符合现行国家标准《高处作业分级》GB、T3608
3、WM_2024年一建法规-电子版教材_专业文件-->第6章建设工程安全生产法律制度-->6.4施工现场安全防护制度-->6.4.1编制和实施安全技术措施、专项施工方案-->3.危大工程专项施工方案的编制及审查
4、382GB51033T-2014[A010]水利泵站施工及验收规范_规范-->9质量控制和施工安全-->9.3施工安全-->9.3.5高压设备带电期间，应划定危险区，并设置安全线和警示标志，进入该区域的人员应穿绝缘鞋、戴绝缘手套。
",,未通过,
26.0,江昊,施工,建筑业最常发生的五种事故包括哪些？,高处坠落、物体打击、机械伤害、触电、坍塌。,中,非库内规范,,徐世强,不通过,"建筑业最常发生的五种事故包括：

1.火灾事故：主要原因包括施工现场动火作业不慎、动火管理缺失，易燃易爆建筑材料被引燃等。

2.坍塌事故：施工安全重大危险源包括起重作业、高处作业、临时建筑失稳等，容易导致建筑物坍塌事故发生。

3.高空坠落事故：由于安全防护设施不符合标准或缺乏防护措施，导致人员在高空作业时发生坠落意外。

4.化学品事故：施工现场使用易燃易爆化学物品时，如果存放不符合要求或防护不到位，容易引发火灾或人员中毒事件。

5.公共卫生事件：包括突发重大食物中毒和其他重大公共卫生事件，可能由不符合卫生标准的饮食环境引起集体中毒或传染疾病等问题。

以上是建筑业最常发生的五种事故，需要施工单位和相关人员高度重视安全防范工作，遵守相关规定和标准，确保施工过程中的安全生产。

共4条引用
1、351GB50720-2011[A010]建设工程施工现场消防安全技术规范的条文解释_条文说明-->6防火管理-->6.3用火、用电、用气管理-->6.3.1施工现场动火作业多，用(动)火管理缺失和动火作业不慎引燃可燃、易燃建筑材料是导致火灾事故发生的主要原因。为此，
2、24年一建机电-官方教材_专业文件-->第12章施工安全管理-->12.1安全风险管理策划-->12.1.2现场危险源识别-->3.施工安全重大危险源的主要类型
3、351GB50720-2011[A010]建设工程施工现场消防安全技术规范的条文解释_条文说明-->4建筑防火-->4.2临时用房防火-->4.2.2发电机房、变配电房、厨房操作间、锅炉房、可燃材料和易燃易爆危险品库房是施工现场火灾危险性较大的临时用房，因而
4、24年一建机电-官方教材_专业文件-->第12章施工安全管理-->12.2施工安全管理规定与实施-->12.2.3应急预案编制与实施-->2.施工现场突发事件
",,未通过,
27.0,江昊,施工,一级动火作业审批程序,一级动火作业由项目负责人组织编制防火安全技术方案，填写动火申请表，报企业安全管理部门审查批准后，方可动火,中,非库内规范,,石瑞宇,通过,"一级动火作业的审批程序包括动火作业申请、审批和执行三个步骤。在施工现场进行动火作业前，动火作业人员需提出动
火作业申请，包含人员、内容、部位、时间、作业环境和灭火救援措施等内容。审批机构根据申请内容审批动火作业，并
落实相应管理制度。在动火作业执行过程中，需要加强对动火区域的巡检，发现问题要立即上报，并要求动火人立即纠正，
未纠正前必须停止动火作业。如施工现场具有火灾、爆炸危险的场所，则禁止采用明火取暖等措施，确保施工现场的消防
安全管理档案完备。",,未通过,
28.0,江昊,施工,危险物品与易燃易爆品的堆放距离应该是多少,危险物品与易燃易爆品的堆放距离不得小于30m。,中,非库内规范,,石瑞宇,不通过,"根据提供的基础资料，危险物品与易燃易爆品的堆放距离应符合以下规定：
-易燃易爆危险物品库房与在建工程的防火间距不应小于15m；
-可燃材料堆场及其加工场、固定动火作业场与在建工程的防火间距不应小于10m；
-其他临时用房、临时设施与在建工程的防火间距不应小于6m；
-易燃易爆工厂仓库、供气厂、储气站等重大次生火灾或爆炸危险源距离不应小于1000m。

因此，根据不同情况的要求，危险物品与易燃易爆品的堆放距离应该在15m至1000m之间。",,未通过,
29.0,江昊,施工,电缆线路敷设基本要求有哪些？,1）五芯电缆：淡蓝色芯线必须用作N线；绿/黄双色芯线必须用作PE线，严禁混用。（2）电缆线路应采用埋地或架空敷设，严禁沿地面明设。（3）电缆线路必须有短路保护和过载保护。,中,非库内规范,,石瑞宇,,"电缆线路敷设的基本要求包括：
1.室内线缆的敷设应采用低烟、低毒、阻燃线缆。
2.信号电缆和电力线平行时，其间距不应小于0.3m；信号电缆与电力线交叉敷设时，宜相互垂直。
3.信号线缆和电力电缆平行敷设时，间距不得小于0.3m；信号线缆与电力电缆交叉敷设时，宜成直角。
4.信号线缆暗管敷设与防雷引下线的最小净距应符合相应要求，具体数值可查表格。
5.室外线缆在通信管道内敷设时，不宜与通信线缆共用管孔；线缆在沟道内敷设时，应敷设在支架上或线槽内。
6.光缆敷设前应对光纤进行检查，确保无断点和符合设计要求的衰耗值；敷设时注意最小动态弯曲半径，牵引力不得超过
允许张力的80%。
7.正确的固定和预留长度也是敷设过程中的重要要求，以确保线缆安全和方便日后管理。

以上是电缆线路敷设的基本要求，有效地遵守这些规定可以确保线路的安全性和可靠性。",,未通过,
30.0,江昊,施工,供水系统包括哪些？,取水位置、取水设施、净水设施、贮水装置、输水管、配水管管网和末端配置。,中,非库内规范,,石瑞宇,,"供水系统一般包括水源地(取水)、水厂(水质处理)、输水、配水管网、加压泵站等组成。中水系统则包括原水系统、处理系
统和供水系统。消火栓系统由供水设施、消火栓、配水管网和阀门等组成。在给水排水系统内，还包括水泵、定压装置、
供水装置、换热装置、供冷设备、供热设备、冷却设备的安装。整体来说，供水系统涵盖了多个子系统，每个子系统都起
着重要的作用，确保城市正常的供水服务。",,未通过,
,,,,,,,,,,,,未通过,
,,,,,,,,,,,,未通过,
,,,,,,,,,,,,未通过,
1.0,柳博予,一建机电实务,机电工程测量的主要内容有哪些？,"（1）机电设备安装放线、基础检查、验收

（2）工序或过程测量，每道工序完成以后，都要通过测量，检查各部位的实际位置及高程是否满足设计要求。

（3）变形观测测定已安装设备在平面和高程方面产生的位移和沉降，收集整理各种变化资料，作为坚定工程质量和验证工程设计、施工是否合理的依据。",中,非库内规范,,石瑞宇,,"机电工程测量的主要内容包括机电设备安装放线、基础检查、验收，工序或过程测量，变形观测，交工验收检测以及工程
竣工测量。机电工程测量的作用包括安装定位和变形监测等。此外，机电工程测量具有高精度要求，贯穿整个施工过程，
与工程施工密切相关，并受施工环境因素影响大的特点。常见的工程测量包括设备基础的测量、生产设备安装的测量、管
线工程的测量以及长距离输电线路钢塔架基础施工的测量。机电工程测量的原则是“由整体到局部，先控制后细部”，同时
要求保证测设精度、减少误差累积，并进行全面的检核和确认。",,未通过,
2.0,柳博予,一建机电实务,机电工程测量的特点是什么？,"（1）机电工程测量贯穿于整个施工过程。从基础划线、标高测量到设备安装全过程，都需要进行工程测量，以使各部分的尺寸、位置满足设计要求。

（2）精度要求高。相比于建筑测量，精度要求高的多。

（3）机电工程测量工序与施工工序紧密相关

（4）机电工程测量受施工环境影响大，测量标板容易损坏。",中,非库内规范,,石瑞宇,通过,"机电工程测量的特点包括：贯穿整个施工过程、精度要求高、与工程施工密切相关、受施工环境影响大等。测量过程需要
保证精度，进行全面的检核，并根据设备安装、工序、变形监测等内容展开测量工作。常见的工程测量内容包括设备基础
的测量、生产设备安装的测量、管线工程的测量以及长距离输电线路钢塔架基础施工的测量。机电工程测量的原则是由整
体到局部、先控制后细部，以确保施工过程符合设计要求。",,未通过,
3.0,柳博予,一建机电实务,常用的起重机有哪些？,有流动式起重机、塔式起重机、非常规起重机。,中,非库内规范,,石瑞宇,通过,"常用的起重机包括小型起重设备、起重机和非常规起重机等。其中小型起重设备有千斤顶、滑车、起重葫芦和卷扬机；起
重机有桥架型起重机、臂架型起重机和缆索型起重机；非常规起重机有流动式起重机、塔式起重机、桅杆起重机等。每种
起重机都有其特点和适用范围，如流动式起重机适用于单件重量大的吊装、塔式起重机适用于数量多且单件重量小的吊装，
桅杆起重机适用于特重、特高的吊装作业。同时，电站主厂房通常设置单小车或双小车桥式起重机。希望以上信息能够帮
助您解答问题。",,未通过,
